,SUMMARY,SCIENTIFIC JUSTIFICATION,PROCEDURE,OBJECTIVES,METHODOLOGY,ELIGIBILITY,DATA MANAGEMENT,STATISTICAL,total
systemic,112.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,144.0
department,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,139.0
others,109.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
following,0.0,0.0,65.0,0.0,28.0,41.0,0.0,0.0,134.0
infusion,105.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,134.0
related,103.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,132.0
consent,0.0,0.0,83.0,0.0,0.0,48.0,0.0,0.0,131.0
milligrams,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
defined,0.0,0.0,0.0,0.0,94.0,32.0,0.0,0.0,126.0
used,0.0,11.0,75.0,0.0,0.0,0.0,0.0,38.0,124.0
analysis,0.0,0.0,0.0,0.0,24.0,0.0,0.0,95.0,119.0
documents,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0
acute,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
may,0.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,115.0
subject,0.0,0.0,94.0,0.0,0.0,0.0,18.0,0.0,112.0
kilograms,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
subjects,0.0,0.0,0.0,0.0,0.0,41.0,21.0,47.0,109.0
serious,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,108.0
performed,0.0,0.0,62.0,0.0,0.0,0.0,0.0,45.0,107.0
reports,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,103.0
rate,0.0,0.0,0.0,15.0,40.0,0.0,0.0,46.0,101.0
complete,0.0,0.0,74.0,0.0,25.0,0.0,0.0,0.0,99.0
results,0.0,12.0,64.0,0.0,0.0,0.0,22.0,0.0,98.0
initial,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0
prior,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,92.0
time,0.0,0.0,0.0,14.0,46.0,0.0,0.0,31.0,91.0
paris,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0
quality,0.0,0.0,0.0,17.0,25.0,0.0,47.0,0.0,89.0
incidence,0.0,0.0,0.0,22.0,31.0,0.0,0.0,31.0,84.0
within,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,82.0
vigilance,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,81.0
possible,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0
email,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0
assessment,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0
efficacy,0.0,15.0,0.0,21.0,0.0,0.0,0.0,38.0,74.0
evaluate,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,73.0
according,0.0,0.0,0.0,0.0,43.0,30.0,0.0,0.0,73.0
additional,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0
participants,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0
reason,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0
medical,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0
events,0.0,0.0,0.0,0.0,40.0,0.0,0.0,28.0,68.0
send,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0
endpoint,0.0,0.0,0.0,0.0,23.0,0.0,0.0,42.0,65.0
publique,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0
assistance,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0
hôpitaux,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0
test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0
see,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
et,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
premature,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
fraction,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
hospital,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
donor,0.0,22.0,0.0,0.0,0.0,37.0,0.0,0.0,59.0
infection,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,59.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0
analyses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0
code,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0
included,0.0,0.0,0.0,0.0,0.0,28.0,0.0,26.0,54.0
least,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0
based,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
probability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
arms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0
endpoints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0
investigators,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0
history,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0
overall,0.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,46.0
control,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0
estimated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0
failure,0.0,0.0,0.0,13.0,0.0,32.0,0.0,0.0,45.0
necessary,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0
group,0.0,0.0,0.0,13.0,0.0,0.0,0.0,31.0,44.0
ensure,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0
life,0.0,0.0,0.0,18.0,26.0,0.0,0.0,0.0,44.0
characteristics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0
contraception,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0
persons,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0
two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
compared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
heart,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0
score,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0
interim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0
of,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0
positive,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0
methods,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0
weeks,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0
treat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0
bd,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
grade,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0
tuberculosis,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0
normal,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0
bayesian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0
226,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0
free,0.0,15.0,0.0,21.0,0.0,0.0,0.0,0.0,36.0
intent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0
virus,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
informed,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
compare,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,34.0
assessed,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0
carcinoma,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0
french,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0
age,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0
immunodeficiency,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0
48,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0
16,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0
described,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0
women,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0
potential,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0
system,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0
baseline,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0
model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0
18,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0
upper,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
drug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0
posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0
effect,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0
50,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
limit,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
set,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
last,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0
range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
tumor,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,26.0
remission,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0
collected,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
haplo,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
without,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0
personal,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
mortality,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,24.0
obtained,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
well,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
progression,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0
responsible,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0
names,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0
evaluated,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0
secrecy,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
take,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
via,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
professional,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
precautions,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
circumstances,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
identity,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
confidentiality,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
identifying,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
addresses,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
strictly,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
specialised,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0
assess,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0
particular,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0
sent,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0
shown,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0
unrelated,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
bound,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
articles,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
web,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
article,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
immune,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0
relating,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
1121,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
public,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
collaborators,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
13,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
prophylaxis,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
vasculitis,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
reported,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
estimate,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0
pharmacodynamic,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
change,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
mammography,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
antigen,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
refractory,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
terms,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
objective,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
secondary,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
best,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
21,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
100,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
associated,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
tnf,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
matched,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
sct,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
leukocyte,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
identical,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
cd,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
also,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
rituximab,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
